service_id,date,exception_type
6,20240303,1
6,20240310,1
6,20240317,1
6,20240324,1
6,20240331,1
6,20240407,1
6,20240414,1
6,20240421,1
6,20240428,1
6,20240505,1
6,20240512,1
6,20240519,1
45,20240302,1
45,20240309,1
45,20240316,1
45,20240323,1
45,20240330,1
45,20240406,1
45,20240413,1
45,20240420,1
45,20240427,1
45,20240504,1
45,20240511,1
45,20240518,1
45,20240525,1
46,20240301,1
46,20240308,1
46,20240315,1
46,20240322,1
46,20240329,1
46,20240405,1
46,20240412,1
46,20240419,1
46,20240426,1
46,20240503,1
46,20240510,1
46,20240517,1
46,20240524,1
47,20240227,1
47,20240228,1
47,20240229,1
47,20240304,1
47,20240305,1
47,20240306,1
47,20240307,1
47,20240311,1
47,20240312,1
47,20240313,1
47,20240314,1
47,20240318,1
47,20240319,1
47,20240320,1
47,20240321,1
47,20240325,1
47,20240326,1
47,20240327,1
47,20240328,1
47,20240401,1
47,20240402,1
47,20240403,1
47,20240404,1
47,20240408,1
47,20240409,1
47,20240410,1
47,20240411,1
47,20240415,1
47,20240416,1
47,20240417,1
47,20240418,1
47,20240422,1
47,20240423,1
47,20240424,1
47,20240425,1
47,20240429,1
47,20240430,1
47,20240501,1
47,20240502,1
47,20240506,1
47,20240507,1
47,20240508,1
47,20240509,1
47,20240513,1
47,20240514,1
47,20240515,1
47,20240516,1
47,20240520,1
47,20240521,1
47,20240522,1
47,20240523,1
55,20240302,1
56,20240303,1
