trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
4982664_19722,07:41:00,07:41:00,PF_B02_1,17,0,0,18.9530
4982647_19722,07:47:00,07:47:00,PF_B02_1,17,0,0,18.9530
4982677_19722,07:53:00,07:53:00,PF_B02_1,17,0,0,18.9530
4982687_19722,07:59:00,07:59:00,PF_B02_1,17,0,0,18.9530
4982673_19722,08:05:00,08:05:00,PF_B02_1,17,0,0,18.9530
4982674_19722,08:11:00,08:11:00,PF_B02_1,17,0,0,18.9530
4982700_19722,08:17:00,08:17:00,PF_B02_1,17,0,0,18.9530
4982685_19722,08:23:00,08:23:00,PF_B02_1,17,0,0,18.9530
4982668_19722,08:29:00,08:29:00,PF_B02_1,17,0,0,18.9530
4982696_19722,08:35:00,08:35:00,PF_B02_1,17,0,0,18.9530
4982695_19722,08:41:00,08:41:00,PF_B02_1,17,0,0,18.9530
4982690_19722,08:47:00,08:47:00,PF_B02_1,17,0,0,18.9530
4982680_19722,08:53:00,08:53:00,PF_B02_1,17,0,0,18.9530
4982676_19722,08:59:00,08:59:00,PF_B02_1,17,0,0,18.9530
4982669_19722,09:05:00,09:05:00,PF_B02_1,17,0,0,18.9530
4982688_19722,09:11:00,09:11:00,PF_B02_1,17,0,0,18.9530
4982698_19722,09:17:00,09:17:00,PF_B02_1,17,0,0,18.9530
4982708_19722,09:23:00,09:23:00,PF_B02_1,17,0,0,18.9530
4982739_19722,09:29:00,09:29:00,PF_B02_1,17,0,0,18.9530
4982711_19722,09:35:00,09:35:00,PF_B02_1,17,0,0,18.9530
4982725_19722,09:41:00,09:41:00,PF_B02_1,17,0,0,18.9530
4982729_19722,09:47:00,09:47:00,PF_B02_1,17,0,0,18.9530
4982715_19722,09:53:00,09:53:00,PF_B02_1,17,0,0,18.9530
4982712_19722,09:59:00,09:59:00,PF_B02_1,17,0,0,18.9530
4982733_19722,10:05:00,10:05:00,PF_B02_1,17,0,0,18.9530
4982741_19722,10:11:00,10:11:00,PF_B02_1,17,0,0,18.9530
4982738_19722,10:17:00,10:17:00,PF_B02_1,17,0,0,18.9530
4982703_19722,10:23:00,10:23:00,PF_B02_1,17,0,0,18.9530
4982732_19722,10:29:00,10:29:00,PF_B02_1,17,0,0,18.9530
4982735_19722,10:35:00,10:35:00,PF_B02_1,17,0,0,18.9530
4982707_19722,10:41:00,10:41:00,PF_B02_1,17,0,0,18.9530
4982716_19722,10:47:00,10:47:00,PF_B02_1,17,0,0,18.9530
4982734_19722,10:53:00,10:53:00,PF_B02_1,17,0,0,18.9530
4982713_19722,10:59:00,10:59:00,PF_B02_1,17,0,0,18.9530
4982744_19722,11:05:00,11:05:00,PF_B02_1,17,0,0,18.9530
4982758_19722,11:11:00,11:11:00,PF_B02_1,17,0,0,18.9530
4982751_19722,11:17:00,11:17:00,PF_B02_1,17,0,0,18.9530
4982754_19722,11:23:00,11:23:00,PF_B02_1,17,0,0,18.9530
4982756_19722,11:29:00,11:29:00,PF_B02_1,17,0,0,18.9530
4982757_19722,11:35:00,11:35:00,PF_B02_1,17,0,0,18.9530
4982752_19722,11:41:00,11:41:00,PF_B02_1,17,0,0,18.9530
4982743_19722,11:47:00,11:47:00,PF_B02_1,17,0,0,18.9530
4982777_19722,11:53:00,11:53:00,PF_B02_1,17,0,0,18.9530
4982775_19722,11:59:00,11:59:00,PF_B02_1,17,0,0,18.9530
4982787_19722,12:05:00,12:05:00,PF_B02_1,17,0,0,18.9530
4982769_19722,12:11:00,12:11:00,PF_B02_1,17,0,0,18.9530
4982795_19722,12:17:00,12:17:00,PF_B02_1,17,0,0,18.9530
4982765_19722,12:23:00,12:23:00,PF_B02_1,17,0,0,18.9530
4982785_19722,12:29:00,12:29:00,PF_B02_1,17,0,0,18.9530
4982797_19722,12:35:00,12:35:00,PF_B02_1,17,0,0,18.9530
4982799_19722,12:41:00,12:41:00,PF_B02_1,17,0,0,18.9530
4982779_19722,12:47:00,12:47:00,PF_B02_1,17,0,0,18.9530
4982786_19722,12:53:00,12:53:00,PF_B02_1,17,0,0,18.9530
4982774_19722,12:59:00,12:59:00,PF_B02_1,17,0,0,18.9530
4982762_19722,13:05:00,13:05:00,PF_B02_1,17,0,0,18.9530
4982793_19722,13:11:00,13:11:00,PF_B02_1,17,0,0,18.9530
4982788_19722,13:17:00,13:17:00,PF_B02_1,17,0,0,18.9530
4982772_19722,13:23:00,13:23:00,PF_B02_1,17,0,0,18.9530
4982790_19722,13:29:00,13:29:00,PF_B02_1,17,0,0,18.9530
4982773_19722,13:35:00,13:35:00,PF_B02_1,17,0,0,18.9530
4982789_19722,13:41:00,13:41:00,PF_B02_1,17,0,0,18.9530
4982764_19722,13:47:00,13:47:00,PF_B02_1,17,0,0,18.9530
4982809_19722,13:53:00,13:53:00,PF_B02_1,17,0,0,18.9530
4982807_19722,13:59:00,13:59:00,PF_B02_1,17,0,0,18.9530
4982811_19722,14:05:00,14:05:00,PF_B02_1,17,0,0,18.9530
4982815_19722,14:11:00,14:11:00,PF_B02_1,17,0,0,18.9530
4982814_19722,14:17:00,14:17:00,PF_B02_1,17,0,0,18.9530
4982802_19722,14:23:00,14:23:00,PF_B02_1,17,0,0,18.9530
4982810_19722,14:29:00,14:29:00,PF_B02_1,17,0,0,18.9530
4982818_19722,14:35:00,14:35:00,PF_B02_1,17,0,0,18.9530
4982805_19722,14:41:00,14:41:00,PF_B02_1,17,0,0,18.9530
4982821_19722,14:47:00,14:47:00,PF_B02_1,17,0,0,18.9530
4982822_19722,14:53:00,14:53:00,PF_B02_1,17,0,0,18.9530
4982819_19722,14:59:00,14:59:00,PF_B02_1,17,0,0,18.9530
4982828_19722,15:05:00,15:05:00,PF_B02_1,17,0,0,18.9530
4982847_19722,15:11:00,15:11:00,PF_B02_1,17,0,0,18.9530
4982837_19722,15:17:00,15:17:00,PF_B02_1,17,0,0,18.9530
4982843_19722,15:23:00,15:23:00,PF_B02_1,17,0,0,18.9530
4982844_19722,15:29:00,15:29:00,PF_B02_1,17,0,0,18.9530
4982826_19722,15:35:00,15:35:00,PF_B02_1,17,0,0,18.9530
4982829_19722,15:41:00,15:41:00,PF_B02_1,17,0,0,18.9530
4982838_19722,15:47:00,15:47:00,PF_B02_1,17,0,0,18.9530
4982842_19722,15:53:00,15:53:00,PF_B02_1,17,0,0,18.9530
4982834_19722,15:59:00,15:59:00,PF_B02_1,17,0,0,18.9530
4982831_19722,16:05:00,16:05:00,PF_B02_1,17,0,0,18.9530
4982848_19722,16:11:00,16:11:00,PF_B02_1,17,0,0,18.9530
4982870_19722,16:17:00,16:17:00,PF_B02_1,17,0,0,18.9530
4982876_19722,16:23:00,16:23:00,PF_B02_1,17,0,0,18.9530
4982888_19722,16:29:00,16:29:00,PF_B02_1,17,0,0,18.9530
4982889_19722,16:35:00,16:35:00,PF_B02_1,17,0,0,18.9530
4982879_19722,16:41:00,16:41:00,PF_B02_1,17,0,0,18.9530
4982869_19722,16:47:00,16:47:00,PF_B02_1,17,0,0,18.9530
4982865_19722,16:53:00,16:53:00,PF_B02_1,17,0,0,18.9530
4982854_19722,16:59:00,16:59:00,PF_B02_1,17,0,0,18.9530
4982880_19722,17:05:00,17:05:00,PF_B02_1,17,0,0,18.9530
4982885_19722,17:11:00,17:11:00,PF_B02_1,17,0,0,18.9530
4982867_19722,17:17:00,17:17:00,PF_B02_1,17,0,0,18.9530
4982859_19722,17:23:00,17:23:00,PF_B02_1,17,0,0,18.9530
4982877_19722,17:29:00,17:29:00,PF_B02_1,17,0,0,18.9530
4982862_19722,17:35:00,17:35:00,PF_B02_1,17,0,0,18.9530
4982857_19722,17:41:00,17:41:00,PF_B02_1,17,0,0,18.9530
4982868_19722,17:47:00,17:47:00,PF_B02_1,17,0,0,18.9530
4982866_19722,17:53:00,17:53:00,PF_B02_1,17,0,0,18.9530
4982919_19722,17:59:00,17:59:00,PF_B02_1,17,0,0,18.9530
4982898_19722,18:05:00,18:05:00,PF_B02_1,17,0,0,18.9530
4982893_19722,18:11:00,18:11:00,PF_B02_1,17,0,0,18.9530
4982927_19722,18:17:00,18:17:00,PF_B02_1,17,0,0,18.9530
4982944_19722,18:23:00,18:23:00,PF_B02_1,17,0,0,18.9530
4982947_19722,18:29:00,18:29:00,PF_B02_1,17,0,0,18.9530
4982913_19722,18:35:00,18:35:00,PF_B02_1,17,0,0,18.9530
4982938_19722,18:41:00,18:41:00,PF_B02_1,17,0,0,18.9530
4982926_19722,18:47:00,18:47:00,PF_B02_1,17,0,0,18.9530
4982902_19722,18:53:00,18:53:00,PF_B02_1,17,0,0,18.9530
4982907_19722,18:59:00,18:59:00,PF_B02_1,17,0,0,18.9530
4982941_19722,19:05:00,19:05:00,PF_B02_1,17,0,0,18.9530
4982948_19722,19:11:00,19:11:00,PF_B02_1,17,0,0,18.9530
4982928_19722,19:17:00,19:17:00,PF_B02_1,17,0,0,18.9530
4982891_19722,19:23:00,19:23:00,PF_B02_1,17,0,0,18.9530
4982937_19722,19:29:00,19:29:00,PF_B02_1,17,0,0,18.9530
4982892_19722,19:35:00,19:35:00,PF_B02_1,17,0,0,18.9530
4982946_19722,19:41:00,19:41:00,PF_B02_1,17,0,0,18.9530
4982908_19722,19:47:00,19:47:00,PF_B02_1,17,0,0,18.9530
4982903_19722,19:53:00,19:53:00,PF_B02_1,17,0,0,18.9530
4982920_19722,19:59:00,19:59:00,PF_B02_1,17,0,0,18.9530
4982929_19722,20:05:00,20:05:00,PF_B02_1,17,0,0,18.9530
4982916_19722,20:11:00,20:11:00,PF_B02_1,17,0,0,18.9530
4982895_19722,20:17:00,20:17:00,PF_B02_1,17,0,0,18.9530
4982959_19722,20:23:00,20:23:00,PF_B02_1,17,0,0,18.9530
4982645_19722,20:29:00,20:29:00,PF_B02_1,17,0,0,18.9530
4982657_19722,20:35:00,20:35:00,PF_B02_1,17,0,0,18.9530
4982906_19722,20:41:00,20:41:00,PF_B02_1,17,0,0,18.9530
4982957_19722,20:47:00,20:47:00,PF_B02_1,17,0,0,18.9530
4982682_19722,20:53:00,20:53:00,PF_B02_1,17,0,0,18.9530
4982717_19722,20:59:00,20:59:00,PF_B02_1,17,0,0,18.9530
4982958_19722,21:05:00,21:05:00,PF_B02_1,17,0,0,18.9530
4982954_19722,21:11:00,21:11:00,PF_B02_1,17,0,0,18.9530
4982643_19722,21:17:00,21:17:00,PF_B02_1,17,0,0,18.9530
4982722_19722,21:23:00,21:23:00,PF_B02_1,17,0,0,18.9530
4982953_19722,21:29:00,21:29:00,PF_B02_1,17,0,0,18.9530
4982638_19722,21:35:00,21:35:00,PF_B02_1,17,0,0,18.9530
4982659_19722,21:41:00,21:41:00,PF_B02_1,17,0,0,18.9530
4982850_19722,21:47:00,21:47:00,PF_B02_1,17,0,0,18.9530
4982863_19722,21:53:00,21:53:00,PF_B02_1,17,0,0,18.9530
4982655_19722,21:59:00,21:59:00,PF_B02_1,17,0,0,18.9530
4982660_19722,22:05:00,22:05:00,PF_B02_1,17,0,0,18.9530
4982653_19722,22:11:00,22:11:00,PF_B02_1,17,0,0,18.9530
4982884_19722,22:19:00,22:19:00,PF_B02_1,17,0,0,18.9530
4982671_19722,22:28:00,22:28:00,PF_B02_1,17,0,0,18.9530
4982667_19722,22:38:00,22:38:00,PF_B02_1,17,0,0,18.9530
4982924_19722,22:48:00,22:48:00,PF_B02_1,17,0,0,18.9530
4982993_19722,22:58:00,22:58:00,PF_B02_1,17,0,0,18.9530
4982994_19722,23:08:00,23:08:00,PF_B02_1,17,0,0,18.9530
4982995_19722,23:18:00,23:18:00,PF_B02_1,17,0,0,18.9530
4982996_19722,23:28:00,23:28:00,PF_B02_1,17,0,0,18.9530
4982997_19722,23:38:00,23:38:00,PF_B02_1,17,0,0,18.9530
4982998_19722,23:48:00,23:48:00,PF_B02_1,17,0,0,18.9530
4982665_19722,23:58:00,23:58:00,PF_B02_1,17,0,0,18.9530
4982899_19722,24:08:00,24:08:00,PF_B02_1,17,0,0,18.9530
